REVENUE,AVG_REVENUE,REVENUE_DIFF
128.0000,341.8700000,-213.8700000
87.0000,341.8700000,-254.8700000
194.0000,341.8700000,-147.8700000
652.0000,341.8700000,310.1300000
400.0000,341.8700000,58.1300000
255.0000,341.8700000,-86.8700000
501.0000,341.8700000,159.1300000
54.0000,341.8700000,-287.8700000
228.0000,341.8700000,-113.8700000
665.0000,341.8700000,323.1300000
258.0000,341.8700000,-83.8700000
103.0000,341.8700000,-238.8700000
260.0000,341.8700000,-81.8700000
504.0000,341.8700000,162.1300000
268.0000,341.8700000,-73.8700000
435.0000,341.8700000,93.1300000
441.0000,341.8700000,99.1300000
107.0000,341.8700000,-234.8700000
37.0000,341.8700000,-304.8700000
208.0000,341.8700000,-133.8700000
204.0000,341.8700000,-137.8700000
652.0000,341.8700000,310.1300000
135.0000,341.8700000,-206.8700000
960.0000,341.8700000,618.1300000
650.0000,341.8700000,308.1300000
860.0000,341.8700000,518.1300000
564.0000,341.8700000,222.1300000
231.0000,341.8700000,-110.8700000
896.0000,341.8700000,554.1300000
92.0000,341.8700000,-249.8700000
86.0000,341.8700000,-255.8700000
324.0000,341.8700000,-17.8700000
440.0000,341.8700000,98.1300000
435.0000,341.8700000,93.1300000
350.0000,341.8700000,8.1300000
672.0000,341.8700000,330.1300000
466.0000,341.8700000,124.1300000
655.0000,341.8700000,313.1300000
276.0000,341.8700000,-65.8700000
396.0000,341.8700000,54.1300000
172.0000,341.8700000,-169.8700000
476.0000,341.8700000,134.1300000
316.0000,341.8700000,-25.8700000
225.0000,341.8700000,-116.8700000
240.0000,341.8700000,-101.8700000
726.0000,341.8700000,384.1300000
154.0000,341.8700000,-187.8700000
79.0000,341.8700000,-262.8700000
264.0000,341.8700000,-77.8700000
200.0000,341.8700000,-141.8700000
356.0000,341.8700000,14.1300000
1090.0000,341.8700000,748.1300000
50.0000,341.8700000,-291.8700000
550.0000,341.8700000,208.1300000
304.0000,341.8700000,-37.8700000
72.0000,341.8700000,-269.8700000
513.0000,341.8700000,171.1300000
156.0000,341.8700000,-185.8700000
224.0000,341.8700000,-117.8700000
135.0000,341.8700000,-206.8700000
258.0000,341.8700000,-83.8700000
326.0000,341.8700000,-15.8700000
545.0000,341.8700000,203.1300000
244.0000,341.8700000,-97.8700000
324.0000,341.8700000,-17.8700000
206.0000,341.8700000,-135.8700000
76.0000,341.8700000,-265.8700000
260.0000,341.8700000,-81.8700000
300.0000,341.8700000,-41.8700000
495.0000,341.8700000,153.1300000
612.0000,341.8700000,270.1300000
196.0000,341.8700000,-145.8700000
156.0000,341.8700000,-185.8700000
876.0000,341.8700000,534.1300000
228.0000,341.8700000,-113.8700000
392.0000,341.8700000,50.1300000
872.0000,341.8700000,530.1300000
460.0000,341.8700000,118.1300000
198.0000,341.8700000,-143.8700000
195.0000,341.8700000,-146.8700000
95.0000,341.8700000,-246.8700000
66.0000,341.8700000,-275.8700000
108.0000,341.8700000,-233.8700000
240.0000,341.8700000,-101.8700000
360.0000,341.8700000,18.1300000
243.0000,341.8700000,-98.8700000
88.0000,341.8700000,-253.8700000
1090.0000,341.8700000,748.1300000
132.0000,341.8700000,-209.8700000
87.0000,341.8700000,-254.8700000
400.0000,341.8700000,58.1300000
27.0000,341.8700000,-314.8700000
920.0000,341.8700000,578.1300000
168.0000,341.8700000,-173.8700000
61.0000,341.8700000,-280.8700000
390.0000,341.8700000,48.1300000
315.0000,341.8700000,-26.8700000
185.0000,341.8700000,-156.8700000
399.0000,341.8700000,57.1300000
163.0000,341.8700000,-178.8700000
